Order ID,Order Date,Ship Mode,Customer Name,Segment,Region,State,City,Category,SubCategory,Sales,Quantity,Discount,Profit,Profit Margin,Order Year
CA-2014-115812,2014-06-09,Standard Class,Brosina Hoffman,Consumer,West,California,Los Angeles,Technology,Phones,911.424,4,0.2,68.3568,0.075,2014
CA-2017-114412,2017-04-15,Standard Class,Andrew Allen,Consumer,South,North Carolina,Concord,Office Supplies,Paper,15.552,3,0.2,5.4432,0.35,2017
CA-2016-161389,2016-12-05,Standard Class,Irene Maddox,Consumer,West,Washington,Seattle,Office Supplies,Binders,407.976,3,0.2,132.5922,0.325,2016
US-2015-118983,2015-11-22,Standard Class,Harold Pawlan,Home Office,Central,Texas,Fort Worth,Office Supplies,Appliances,68.81,5,0.8,-123.858,-1.8,2015
US-2015-118983,2015-11-22,Standard Class,Harold Pawlan,Home Office,Central,Texas,Fort Worth,Office Supplies,Binders,2.544,3,0.8,-3.816,-1.5,2015
CA-2014-105893,2014-11-11,Standard Class,Pete Kriz,Consumer,Central,Wisconsin,Madison,Office Supplies,Storage,665.88,6,0.0,13.3176,0.02,2014
CA-2014-167164,2014-05-13,Second Class,Alejandro Grove,Consumer,West,Utah,West Jordan,Office Supplies,Storage,55.5,2,0.0,9.99,0.18,2014
CA-2014-143336,2014-08-27,Second Class,Zuschuss Donatelli,Consumer,West,California,San Francisco,Office Supplies,Art,8.56,2,0.0,2.4824,0.29,2014
CA-2014-143336,2014-08-27,Second Class,Zuschuss Donatelli,Consumer,West,California,San Francisco,Technology,Phones,213.48,3,0.2,16.011,0.075,2014
CA-2014-143336,2014-08-27,Second Class,Zuschuss Donatelli,Consumer,West,California,San Francisco,Office Supplies,Binders,22.72,4,0.2,7.384,0.325,2014
CA-2016-137330,2016-12-09,Standard Class,Ken Black,Corporate,Central,Nebraska,Fremont,Office Supplies,Art,19.46,7,0.0,5.0596,0.26,2016
CA-2016-137330,2016-12-09,Standard Class,Ken Black,Corporate,Central,Nebraska,Fremont,Office Supplies,Appliances,60.34,7,0.0,15.6884,0.26,2016
US-2017-156909,2017-07-16,Second Class,Sandra Flanagan,Consumer,East,Pennsylvania,Philadelphia,Furniture,Chairs,71.372,2,0.3,-1.0196,-0.0143,2017
CA-2015-106320,2015-09-25,Standard Class,Emily Burns,Consumer,West,Utah,Orem,Furniture,Tables,1044.63,3,0.0,240.2649,0.23,2015
CA-2016-121755,2016-01-16,Second Class,Eric Hoffmann,Consumer,West,California,Los Angeles,Office Supplies,Binders,11.648,2,0.2,4.2224,0.3625,2016
CA-2016-121755,2016-01-16,Second Class,Eric Hoffmann,Consumer,West,California,Los Angeles,Technology,Accessories,90.57,3,0.0,11.7741,0.13,2016
US-2015-150630,2015-09-17,Standard Class,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,-0.54,2015
US-2015-150630,2015-09-17,Standard Class,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Binders,9.618,2,0.7,-7.0532,-0.7333,2015
US-2015-150630,2015-09-17,Standard Class,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,Furniture,Furnishings,124.2,3,0.2,15.525,0.125,2015
US-2015-150630,2015-09-17,Standard Class,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Envelopes,3.264,2,0.2,1.1016,0.3375,2015
US-2015-150630,2015-09-17,Standard Class,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Art,86.304,6,0.2,9.7092,0.1125,2015
US-2015-150630,2015-09-17,Standard Class,Tracy Blumstein,Consumer,East,Pennsylvania,Philadelphia,Office Supplies,Art,15.76,2,0.2,3.546,0.225,2015
CA-2017-107727,2017-10-19,Second Class,Matt Abelman,Home Office,Central,Texas,Houston,Office Supplies,Paper,29.472,3,0.2,9.9468,0.3375,2017
CA-2016-117590,2016-12-08,First Class,Gene Hale,Corporate,Central,Texas,Richardson,Technology,Phones,1097.544,7,0.2,123.4737,0.1125,2016
CA-2016-117590,2016-12-08,First Class,Gene Hale,Corporate,Central,Texas,Richardson,Furniture,Furnishings,190.92,5,0.6,-147.963,-0.775,2016
CA-2015-117415,2015-12-27,Standard Class,Steve Nguyen,Home Office,Central,Texas,Houston,Office Supplies,Envelopes,113.328,9,0.2,35.415,0.3125,2015
CA-2015-117415,2015-12-27,Standard Class,Steve Nguyen,Home Office,Central,Texas,Houston,Furniture,Bookcases,532.3992,3,0.32,-46.9764,-0.0882,2015
CA-2015-117415,2015-12-27,Standard Class,Steve Nguyen,Home Office,Central,Texas,Houston,Furniture,Chairs,212.058,3,0.3,-15.147,-0.0714,2015
CA-2015-117415,2015-12-27,Standard Class,Steve Nguyen,Home Office,Central,Texas,Houston,Technology,Phones,371.168,4,0.2,41.7564,0.1125,2015
CA-2017-120999,2017-09-10,Standard Class,Linda Cazamias,Corporate,Central,Illinois,Naperville,Technology,Phones,147.168,4,0.2,16.5564,0.1125,2017
CA-2016-101343,2016-07-17,Standard Class,Ruben Ausman,Corporate,West,California,Los Angeles,Office Supplies,Storage,77.88,2,0.0,3.894,0.05,2016
CA-2017-139619,2017-09-19,Standard Class,Erin Smith,Corporate,South,Florida,Melbourne,Office Supplies,Storage,95.616,2,0.2,9.5616,0.1,2017
CA-2016-118255,2016-03-11,First Class,Odella Nelson,Corporate,Central,Minnesota,Eagan,Technology,Accessories,45.98,2,0.0,19.7714,0.43,2016
CA-2016-118255,2016-03-11,First Class,Odella Nelson,Corporate,Central,Minnesota,Eagan,Office Supplies,Binders,17.46,2,0.0,8.2062,0.47,2016
CA-2014-146703,2014-10-20,Second Class,Patrick O'Donnell,Consumer,Central,Michigan,Westland,Office Supplies,Storage,211.96,4,0.0,8.4784,0.04,2014
CA-2016-169194,2016-06-20,Standard Class,Lena Hernandez,Consumer,East,Delaware,Dover,Technology,Accessories,45.0,3,0.0,4.95,0.11,2016
CA-2016-169194,2016-06-20,Standard Class,Lena Hernandez,Consumer,East,Delaware,Dover,Technology,Phones,21.8,2,0.0,6.104,0.28,2016
CA-2015-115742,2015-04-18,Standard Class,Darren Powers,Consumer,Central,Indiana,New Albany,Office Supplies,Binders,38.22,6,0.0,17.9634,0.47,2015
CA-2015-115742,2015-04-18,Standard Class,Darren Powers,Consumer,Central,Indiana,New Albany,Office Supplies,Labels,75.18,6,0.0,35.3346,0.47,2015
CA-2015-115742,2015-04-18,Standard Class,Darren Powers,Consumer,Central,Indiana,New Albany,Furniture,Furnishings,6.16,2,0.0,2.9568,0.48,2015
CA-2015-115742,2015-04-18,Standard Class,Darren Powers,Consumer,Central,Indiana,New Albany,Furniture,Chairs,89.99,1,0.0,17.0981,0.19,2015
CA-2016-105816,2016-12-11,Standard Class,Janet Molinari,Corporate,East,New York,New York City,Office Supplies,Fasteners,15.26,7,0.0,6.2566,0.41,2016
CA-2016-105816,2016-12-11,Standard Class,Janet Molinari,Corporate,East,New York,New York City,Technology,Phones,1029.95,5,0.0,298.6855,0.29,2016
CA-2016-111682,2016-06-17,First Class,Ted Butterfield,Consumer,East,New York,Troy,Office Supplies,Storage,208.56,6,0.0,52.14,0.25,2016
CA-2016-111682,2016-06-17,First Class,Ted Butterfield,Consumer,East,New York,Troy,Office Supplies,Paper,32.4,5,0.0,15.552,0.48,2016
CA-2016-111682,2016-06-17,First Class,Ted Butterfield,Consumer,East,New York,Troy,Furniture,Chairs,319.41,5,0.1,7.098,0.0222,2016
CA-2016-111682,2016-06-17,First Class,Ted Butterfield,Consumer,East,New York,Troy,Office Supplies,Paper,14.56,2,0.0,6.9888,0.48,2016
CA-2016-111682,2016-06-17,First Class,Ted Butterfield,Consumer,East,New York,Troy,Technology,Accessories,30.0,2,0.0,3.3,0.11,2016
CA-2016-111682,2016-06-17,First Class,Ted Butterfield,Consumer,East,New York,Troy,Office Supplies,Binders,48.48,4,0.2,16.362,0.3375,2016
CA-2016-111682,2016-06-17,First Class,Ted Butterfield,Consumer,East,New York,Troy,Office Supplies,Art,1.68,1,0.0,0.84,0.5,2016
CA-2015-135545,2015-11-24,Standard Class,Kunst Miller,Consumer,West,California,Los Angeles,Technology,Accessories,13.98,2,0.0,6.1512,0.44,2015
CA-2015-135545,2015-11-24,Standard Class,Kunst Miller,Consumer,West,California,Los Angeles,Office Supplies,Binders,25.824,6,0.2,9.3612,0.3625,2015
CA-2015-135545,2015-11-24,Standard Class,Kunst Miller,Consumer,West,California,Los Angeles,Office Supplies,Paper,146.73,3,0.0,68.9631,0.47,2015
CA-2015-135545,2015-11-24,Standard Class,Kunst Miller,Consumer,West,California,Los Angeles,Furniture,Furnishings,79.76,4,0.0,22.3328,0.28,2015
US-2015-164175,2015-04-30,Standard Class,Paul Stevenson,Home Office,Central,Illinois,Chicago,Furniture,Chairs,213.115,5,0.3,-15.2225,-0.0714,2015
CA-2014-106376,2014-12-05,Standard Class,Brendan Sweed,Corporate,West,Arizona,Gilbert,Office Supplies,Art,1113.024,8,0.2,111.3024,0.1,2014
CA-2014-106376,2014-12-05,Standard Class,Brendan Sweed,Corporate,West,Arizona,Gilbert,Technology,Phones,167.968,4,0.2,62.988,0.375,2014
CA-2016-119823,2016-06-04,First Class,Karen Daniels,Consumer,South,Virginia,Springfield,Office Supplies,Paper,75.88,2,0.0,35.6636,0.47,2016
CA-2016-106075,2016-09-18,Standard Class,Henry MacAllister,Consumer,East,New York,New York City,Office Supplies,Binders,4.616,1,0.2,1.731,0.375,2016
CA-2017-114440,2017-09-14,Second Class,Tracy Blumstein,Consumer,Central,Michigan,Jackson,Office Supplies,Paper,19.05,3,0.0,8.763,0.46,2017
US-2015-134026,2015-04-26,Standard Class,Joel Eaton,Consumer,South,Tennessee,Memphis,Furniture,Chairs,831.936,8,0.2,-114.3912,-0.1375,2015
US-2015-134026,2015-04-26,Standard Class,Joel Eaton,Consumer,South,Tennessee,Memphis,Furniture,Furnishings,97.04,2,0.2,1.213,0.0125,2015
US-2015-134026,2015-04-26,Standard Class,Joel Eaton,Consumer,South,Tennessee,Memphis,Office Supplies,Storage,72.784,1,0.2,-18.196,-0.25,2015
US-2017-118038,2017-12-09,First Class,Ken Brennan,Corporate,Central,Texas,Houston,Office Supplies,Binders,1.248,3,0.8,-1.9344,-1.55,2017
US-2017-118038,2017-12-09,First Class,Ken Brennan,Corporate,Central,Texas,Houston,Office Supplies,Storage,27.24,3,0.2,2.724,0.1,2017
US-2014-147606,2014-11-26,Second Class,Joel Eaton,Consumer,Central,Texas,Houston,Furniture,Furnishings,19.3,5,0.6,-14.475,-0.75,2014
CA-2016-127208,2016-06-12,First Class,Stewart Carmichael,Corporate,South,Alabama,Decatur,Office Supplies,Appliances,208.16,1,0.0,56.2032,0.27,2016
CA-2016-127208,2016-06-12,First Class,Stewart Carmichael,Corporate,South,Alabama,Decatur,Office Supplies,Binders,16.74,3,0.0,8.0352,0.48,2016
CA-2014-139451,2014-10-12,Standard Class,Duane Noonan,Consumer,West,California,San Francisco,Office Supplies,Art,14.9,5,0.0,4.172,0.28,2014
CA-2014-139451,2014-10-12,Standard Class,Duane Noonan,Consumer,West,California,San Francisco,Office Supplies,Storage,21.39,1,0.0,6.2031,0.29,2014
CA-2015-149734,2015-09-03,Standard Class,Julie Creighton,Corporate,South,North Carolina,Durham,Office Supplies,Envelopes,200.984,7,0.2,62.8075,0.3125,2015
US-2017-119662,2017-11-13,First Class,Christopher Schild,Home Office,Central,Illinois,Chicago,Office Supplies,Storage,230.376,3,0.2,-48.9549,-0.2125,2017
CA-2017-140088,2017-05-28,Second Class,Patrick O'Donnell,Consumer,South,South Carolina,Columbia,Furniture,Chairs,301.96,2,0.0,33.2156,0.11,2017
CA-2017-155558,2017-10-26,Standard Class,Paul Gonzalez,Consumer,Central,Minnesota,Rochester,Technology,Accessories,19.99,1,0.0,6.7966,0.34,2017
CA-2017-155558,2017-10-26,Standard Class,Paul Gonzalez,Consumer,Central,Minnesota,Rochester,Office Supplies,Labels,6.16,2,0.0,2.9568,0.48,2017
CA-2016-159695,2016-04-05,Second Class,Gary Mitchum,Home Office,Central,Texas,Houston,Office Supplies,Storage,158.368,7,0.2,13.8572,0.0875,2016
CA-2016-109806,2016-09-17,Standard Class,Jim Sink,Corporate,West,California,Los Angeles,Office Supplies,Art,20.1,3,0.0,6.633,0.33,2016
CA-2016-109806,2016-09-17,Standard Class,Jim Sink,Corporate,West,California,Los Angeles,Technology,Phones,73.584,2,0.2,8.2782,0.1125,2016
CA-2016-109806,2016-09-17,Standard Class,Jim Sink,Corporate,West,California,Los Angeles,Office Supplies,Paper,6.48,1,0.0,3.1104,0.48,2016
CA-2015-149587,2015-01-31,Second Class,Karl Braun,Consumer,Central,Minnesota,Minneapolis,Office Supplies,Paper,12.96,2,0.0,6.2208,0.48,2015
CA-2015-149587,2015-01-31,Second Class,Karl Braun,Consumer,Central,Minnesota,Minneapolis,Furniture,Furnishings,53.34,3,0.0,16.5354,0.31,2015
CA-2015-149587,2015-01-31,Second Class,Karl Braun,Consumer,Central,Minnesota,Minneapolis,Office Supplies,Binders,32.96,2,0.0,16.1504,0.49,2015
US-2017-109484,2017-11-06,Standard Class,Roger Barcio,Home Office,West,Oregon,Portland,Office Supplies,Binders,5.682,1,0.7,-3.788,-0.6667,2017
CA-2017-161018,2017-11-09,Second Class,Parhena Norris,Home Office,East,New York,New York City,Furniture,Furnishings,96.53,7,0.0,40.5426,0.42,2017
CA-2017-157833,2017-06-17,First Class,Katherine Ducich,Consumer,West,California,San Francisco,Office Supplies,Binders,51.312,3,0.2,17.9592,0.35,2017
CA-2016-149223,2016-09-06,Standard Class,Elpida Rittenbach,Corporate,Central,Minnesota,Saint Paul,Office Supplies,Appliances,77.88,6,0.0,22.5852,0.29,2016
CA-2016-158568,2016-08-29,Standard Class,Rick Bensley,Home Office,Central,Illinois,Chicago,Office Supplies,Paper,64.624,7,0.2,22.6184,0.35,2016
CA-2016-158568,2016-08-29,Standard Class,Rick Bensley,Home Office,Central,Illinois,Chicago,Technology,Accessories,95.976,3,0.2,-10.7973,-0.1125,2016
CA-2016-158568,2016-08-29,Standard Class,Rick Bensley,Home Office,Central,Illinois,Chicago,Office Supplies,Binders,1.788,3,0.8,-3.0396,-1.7,2016
CA-2016-129903,2016-12-01,Second Class,Gary Zandusky,Consumer,Central,Minnesota,Rochester,Office Supplies,Paper,23.92,4,0.0,11.7208,0.49,2016
US-2015-156867,2015-11-13,Standard Class,Lena Cacioppo,Consumer,West,Colorado,Aurora,Technology,Accessories,238.896,6,0.2,-26.8758,-0.1125,2015
US-2015-156867,2015-11-13,Standard Class,Lena Cacioppo,Consumer,West,Colorado,Aurora,Furniture,Furnishings,102.36,3,0.2,-3.8385,-0.0375,2015
CA-2017-119004,2017-11-23,Standard Class,Janet Martin,Consumer,South,North Carolina,Charlotte,Technology,Accessories,74.112,8,0.2,17.6016,0.2375,2017
CA-2017-119004,2017-11-23,Standard Class,Janet Martin,Consumer,South,North Carolina,Charlotte,Technology,Phones,27.992,1,0.2,2.0994,0.075,2017
CA-2017-119004,2017-11-23,Standard Class,Janet Martin,Consumer,South,North Carolina,Charlotte,Office Supplies,Art,3.304,1,0.2,1.0738,0.325,2017
CA-2015-129476,2015-10-15,Standard Class,Pete Armstrong,Home Office,Central,Illinois,Orland Park,Technology,Accessories,339.96,5,0.2,67.992,0.2,2015
CA-2017-146780,2017-12-25,Standard Class,Cynthia Voltz,Corporate,East,New York,New York City,Furniture,Furnishings,41.96,2,0.0,10.9096,0.26,2017
CA-2016-128867,2016-11-03,Standard Class,Clay Ludtke,Consumer,Central,Iowa,Urbandale,Office Supplies,Art,75.96,2,0.0,22.788,0.3,2016
CA-2016-128867,2016-11-03,Standard Class,Clay Ludtke,Consumer,Central,Iowa,Urbandale,Office Supplies,Binders,27.24,6,0.0,13.3476,0.49,2016
CA-2014-115259,2014-08-25,Second Class,Ryan Crowe,Consumer,East,Ohio,Columbus,Office Supplies,Fasteners,40.096,14,0.2,14.5348,0.3625,2014
CA-2014-115259,2014-08-25,Second Class,Ryan Crowe,Consumer,East,Ohio,Columbus,Office Supplies,Envelopes,4.72,2,0.2,1.652,0.35,2014
CA-2014-115259,2014-08-25,Second Class,Ryan Crowe,Consumer,East,Ohio,Columbus,Office Supplies,Paper,23.976,3,0.2,7.4925,0.3125,2014
CA-2014-115259,2014-08-25,Second Class,Ryan Crowe,Consumer,East,Ohio,Columbus,Office Supplies,Envelopes,130.464,6,0.2,44.0316,0.3375,2014
CA-2015-110457,2015-03-02,Standard Class,Dave Kipp,Consumer,West,Washington,Seattle,Furniture,Tables,787.53,3,0.0,165.3813,0.21,2015
US-2015-136476,2015-04-05,Standard Class,Greg Guthrie,Corporate,South,Tennessee,Bristol,Office Supplies,Binders,157.794,1,0.7,-115.7156,-0.7333,2015
CA-2016-103730,2016-06-12,First Class,Steven Cartwright,Consumer,East,Delaware,Wilmington,Furniture,Furnishings,47.04,3,0.0,18.3456,0.39,2016
CA-2016-103730,2016-06-12,First Class,Steven Cartwright,Consumer,East,Delaware,Wilmington,Office Supplies,Binders,30.84,4,0.0,13.878,0.45,2016
CA-2016-103730,2016-06-12,First Class,Steven Cartwright,Consumer,East,Delaware,Wilmington,Office Supplies,Storage,226.56,6,0.0,63.4368,0.28,2016
CA-2016-103730,2016-06-12,First Class,Steven Cartwright,Consumer,East,Delaware,Wilmington,Office Supplies,Envelopes,115.02,9,0.0,51.759,0.45,2016
CA-2016-103730,2016-06-12,First Class,Steven Cartwright,Consumer,East,Delaware,Wilmington,Technology,Phones,68.04,7,0.0,19.7316,0.29,2016
US-2014-152030,2014-12-26,Second Class,Alan Dominguez,Home Office,Central,Texas,Houston,Furniture,Chairs,600.558,3,0.3,-8.5794,-0.0143,2014
US-2014-134614,2014-09-20,Standard Class,Philip Fox,Consumer,Central,Illinois,Bloomington,Furniture,Tables,617.7,6,0.5,-407.682,-0.66,2014
US-2017-107272,2017-11-05,Standard Class,Troy Staebel,Consumer,West,Arizona,Phoenix,Office Supplies,Binders,2.388,2,0.7,-1.8308,-0.7667,2017
US-2017-107272,2017-11-05,Standard Class,Troy Staebel,Consumer,West,Arizona,Phoenix,Office Supplies,Storage,243.992,7,0.2,30.499,0.125,2017
US-2016-125969,2016-11-06,Second Class,Lindsay Shagiari,Home Office,West,California,Los Angeles,Furniture,Chairs,81.424,2,0.2,-9.1602,-0.1125,2016
US-2016-125969,2016-11-06,Second Class,Lindsay Shagiari,Home Office,West,California,Los Angeles,Furniture,Furnishings,238.56,3,0.0,26.2416,0.11,2016
US-2017-164147,2017-02-02,First Class,Dorothy Wardle,Corporate,East,Ohio,Columbus,Technology,Phones,59.97,5,0.4,-11.994,-0.2,2017
US-2017-164147,2017-02-02,First Class,Dorothy Wardle,Corporate,East,Ohio,Columbus,Office Supplies,Paper,78.304,2,0.2,29.364,0.375,2017
US-2017-164147,2017-02-02,First Class,Dorothy Wardle,Corporate,East,Ohio,Columbus,Office Supplies,Fasteners,21.456,9,0.2,6.9732,0.325,2017
CA-2016-145583,2016-10-13,Standard Class,Lena Creighton,Consumer,West,California,Roseville,Office Supplies,Paper,20.04,3,0.0,9.6192,0.48,2016
CA-2016-145583,2016-10-13,Standard Class,Lena Creighton,Consumer,West,California,Roseville,Office Supplies,Paper,35.44,1,0.0,16.6568,0.47,2016
CA-2016-145583,2016-10-13,Standard Class,Lena Creighton,Consumer,West,California,Roseville,Office Supplies,Art,11.52,4,0.0,3.456,0.3,2016
CA-2016-145583,2016-10-13,Standard Class,Lena Creighton,Consumer,West,California,Roseville,Office Supplies,Fasteners,4.02,2,0.0,1.9698,0.49,2016
CA-2016-145583,2016-10-13,Standard Class,Lena Creighton,Consumer,West,California,Roseville,Office Supplies,Binders,76.176,3,0.2,26.6616,0.35,2016
CA-2016-145583,2016-10-13,Standard Class,Lena Creighton,Consumer,West,California,Roseville,Office Supplies,Supplies,65.88,6,0.0,18.4464,0.28,2016
CA-2016-145583,2016-10-13,Standard Class,Lena Creighton,Consumer,West,California,Roseville,Furniture,Furnishings,43.12,14,0.0,20.6976,0.48,2016
CA-2016-110366,2016-09-05,Second Class,Jonathan Doherty,Corporate,East,Pennsylvania,Philadelphia,Furniture,Furnishings,82.8,2,0.2,10.35,0.125,2016
CA-2017-106180,2017-09-18,Standard Class,Sally Hughsby,Corporate,West,California,San Francisco,Office Supplies,Art,8.82,3,0.0,2.3814,0.27,2017
CA-2017-106180,2017-09-18,Standard Class,Sally Hughsby,Corporate,West,California,San Francisco,Office Supplies,Envelopes,10.86,3,0.0,5.1042,0.47,2017
CA-2017-106180,2017-09-18,Standard Class,Sally Hughsby,Corporate,West,California,San Francisco,Office Supplies,Paper,143.7,3,0.0,68.976,0.48,2017
CA-2017-155376,2017-12-22,Standard Class,Sandra Glassco,Consumer,Central,Missouri,Independence,Office Supplies,Appliances,839.43,3,0.0,218.2518,0.26,2017
CA-2015-110744,2015-09-07,Standard Class,Helen Andreada,Consumer,West,California,Pasadena,Office Supplies,Storage,671.93,7,0.0,20.1579,0.03,2015
CA-2014-110072,2014-10-22,Standard Class,Maureen Gastineau,Home Office,East,Ohio,Newark,Furniture,Furnishings,93.888,4,0.2,12.9096,0.1375,2014
CA-2016-114489,2016-12-05,Standard Class,Justin Ellison,Corporate,Central,Wisconsin,Franklin,Technology,Phones,384.45,11,0.0,103.8015,0.27,2016
CA-2016-114489,2016-12-05,Standard Class,Justin Ellison,Corporate,Central,Wisconsin,Franklin,Technology,Phones,149.97,3,0.0,5.9988,0.04,2016
CA-2016-114489,2016-12-05,Standard Class,Justin Ellison,Corporate,Central,Wisconsin,Franklin,Furniture,Chairs,1951.84,8,0.0,585.552,0.3,2016
CA-2016-114489,2016-12-05,Standard Class,Justin Ellison,Corporate,Central,Wisconsin,Franklin,Office Supplies,Binders,171.55,5,0.0,80.6285,0.47,2016
CA-2016-158834,2016-03-13,First Class,Tamara Willingham,Home Office,West,Arizona,Scottsdale,Office Supplies,Appliances,157.92,5,0.2,17.766,0.1125,2016
CA-2016-158834,2016-03-13,First Class,Tamara Willingham,Home Office,West,Arizona,Scottsdale,Technology,Phones,203.184,2,0.2,15.2388,0.075,2016
CA-2015-124919,2015-05-31,First Class,Stephanie Phelps,Corporate,West,California,San Jose,Office Supplies,Paper,58.38,7,0.0,26.271,0.45,2015
CA-2015-124919,2015-05-31,First Class,Stephanie Phelps,Corporate,West,California,San Jose,Office Supplies,Paper,105.52,4,0.0,48.5392,0.46,2015
CA-2015-124919,2015-05-31,First Class,Stephanie Phelps,Corporate,West,California,San Jose,Office Supplies,Storage,80.88,6,0.0,21.0288,0.26,2015
CA-2015-118948,2015-05-28,Standard Class,Neil Knudson,Home Office,West,Washington,Seattle,Office Supplies,Art,6.63,3,0.0,1.7901,0.27,2015
CA-2014-104269,2014-03-01,Second Class,Dave Brooks,Consumer,West,Washington,Seattle,Furniture,Chairs,457.568,2,0.2,51.4764,0.1125,2014
CA-2016-114104,2016-11-20,Standard Class,Nora Paige,Consumer,Central,Oklahoma,Edmond,Office Supplies,Labels,14.62,2,0.0,6.8714,0.47,2016
CA-2016-114104,2016-11-20,Standard Class,Nora Paige,Consumer,Central,Oklahoma,Edmond,Technology,Phones,944.93,7,0.0,236.2325,0.25,2016
CA-2016-162733,2016-05-11,First Class,Ted Trevino,Consumer,West,California,Los Angeles,Office Supplies,Paper,5.98,1,0.0,2.691,0.45,2016
CA-2015-119697,2015-12-28,Second Class,Eric Murdock,Consumer,East,Pennsylvania,Philadelphia,Technology,Accessories,54.384,2,0.2,1.3596,0.025,2015
CA-2016-154508,2016-11-16,Standard Class,Ruben Dartt,Consumer,West,New Mexico,Carlsbad,Office Supplies,Envelopes,28.4,5,0.0,13.348,0.47,2016
CA-2016-113817,2016-11-07,Standard Class,Max Jones,Consumer,West,Washington,Seattle,Office Supplies,Binders,27.68,2,0.2,9.688,0.35,2016
CA-2014-139892,2014-09-08,Standard Class,Becky Martin,Consumer,Central,Texas,San Antonio,Office Supplies,Art,9.936,3,0.2,2.7324,0.275,2014
CA-2014-139892,2014-09-08,Standard Class,Becky Martin,Consumer,Central,Texas,San Antonio,Technology,Machines,8159.952,8,0.4,-1359.992,-0.1667,2014
CA-2014-139892,2014-09-08,Standard Class,Becky Martin,Consumer,Central,Texas,San Antonio,Office Supplies,Storage,275.928,3,0.2,-58.6347,-0.2125,2014
CA-2014-139892,2014-09-08,Standard Class,Becky Martin,Consumer,Central,Texas,San Antonio,Furniture,Chairs,1740.06,9,0.3,-24.858,-0.0143,2014
CA-2014-139892,2014-09-08,Standard Class,Becky Martin,Consumer,Central,Texas,San Antonio,Office Supplies,Art,32.064,6,0.2,6.8136,0.2125,2014
CA-2014-139892,2014-09-08,Standard Class,Becky Martin,Consumer,Central,Texas,San Antonio,Office Supplies,Appliances,177.98,5,0.8,-453.849,-2.55,2014
CA-2014-139892,2014-09-08,Standard Class,Becky Martin,Consumer,Central,Texas,San Antonio,Technology,Phones,143.976,3,0.2,8.9985,0.0625,2014
CA-2014-118962,2014-08-05,Standard Class,Chad Sievert,Consumer,West,California,Los Angeles,Office Supplies,Paper,20.94,3,0.0,9.8418,0.47,2014
CA-2014-118962,2014-08-05,Standard Class,Chad Sievert,Consumer,West,California,Los Angeles,Office Supplies,Paper,110.96,2,0.0,53.2608,0.48,2014
CA-2014-118962,2014-08-05,Standard Class,Chad Sievert,Consumer,West,California,Los Angeles,Furniture,Chairs,340.144,7,0.2,21.259,0.0625,2014
US-2014-100853,2014-09-14,Standard Class,Jennifer Braxton,Corporate,Central,Illinois,Chicago,Office Supplies,Appliances,52.448,2,0.8,-131.12,-2.5,2014
US-2014-100853,2014-09-14,Standard Class,Jennifer Braxton,Corporate,Central,Illinois,Chicago,Office Supplies,Labels,20.16,4,0.2,6.552,0.325,2014
